size,N,D,E,seed,nv,solver,obj,makespan,feasible,violations,wall_clock_s,skipped,n_assignments,skip_reason
Small,5,1,1,200,45,SA,2009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 0}",0.019997596740722656,False,5.0,
Small,5,1,1,200,45,TS,2009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 0}",0.10599255561828613,False,5.0,
Small,5,1,1,200,45,QA_neal,1011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",0.8439216613769531,False,5.0,
Small,5,1,1,200,45,SBM,1009.0,9.0,False,"{'C1_unassigned': 1, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.005998134613037109,False,4.0,
Small,5,1,1,200,45,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,3,42,135,Greedy,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,3,42,135,GA,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.1979992389678955,False,5.0,
Small,5,1,3,42,135,SA,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.019023895263671875,False,5.0,
Small,5,1,3,42,135,TS,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.21997761726379395,False,5.0,
Small,5,1,3,42,135,QA_neal,1010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",2.742647171020508,False,5.0,
Small,5,1,3,42,135,SBM,5010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 3, 'C4_spillover': 2}",0.022977590560913086,False,5.0,
Small,5,1,3,42,135,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,3,7,135,Greedy,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,3,7,135,GA,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.267611026763916,False,5.0,
Small,5,1,3,7,135,SA,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.01900005340576172,False,5.0,
Small,5,1,3,7,135,TS,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.2080233097076416,False,5.0,
Small,5,1,3,7,135,QA_neal,3010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 2}",2.710442304611206,False,5.0,
Small,5,1,3,7,135,SBM,3011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 2}",0.012013912200927734,False,5.0,
Small,5,1,3,7,135,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,3,1234,135,Greedy,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,3,1234,135,GA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.20499801635742188,False,5.0,
Small,5,1,3,1234,135,SA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.018002033233642578,False,5.0,
Small,5,1,3,1234,135,TS,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.21472525596618652,False,5.0,
Small,5,1,3,1234,135,QA_neal,1010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",2.74865984916687,False,5.0,
Small,5,1,3,1234,135,SBM,9.0,9.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.014998435974121094,False,5.0,
Small,5,1,3,1234,135,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,3,100,135,Greedy,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,3,100,135,GA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.1987442970275879,False,5.0,
Small,5,1,3,100,135,SA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.019999265670776367,False,5.0,
Small,5,1,3,100,135,TS,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.21266841888427734,False,5.0,
Small,5,1,3,100,135,QA_neal,1010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",2.7593796253204346,False,5.0,
Small,5,1,3,100,135,SBM,1010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",0.01097559928894043,False,5.0,
Small,5,1,3,100,135,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,3,200,135,Greedy,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,3,200,135,GA,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.19700074195861816,False,5.0,
Small,5,1,3,200,135,SA,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.023000001907348633,False,5.0,
Small,5,1,3,200,135,TS,4.0,4.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.2686307430267334,False,5.0,
Small,5,1,3,200,135,QA_neal,1010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",2.7478256225585938,False,5.0,
Small,5,1,3,200,135,SBM,6010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 3, 'C4_spillover': 3}",0.009976387023925781,False,5.0,
Small,5,1,3,200,135,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,5,42,225,Greedy,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,5,42,225,GA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.2329998016357422,False,5.0,
Small,5,1,5,42,225,SA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.020000696182250977,False,5.0,
Small,5,1,5,42,225,TS,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.24250507354736328,False,5.0,
Small,5,1,5,42,225,QA_neal,4010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 3}",5.1463963985443115,False,5.0,
Small,5,1,5,42,225,SBM,6011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 4}",0.017978906631469727,False,5.0,
Small,5,1,5,42,225,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,5,7,225,Greedy,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,5,7,225,GA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.2628049850463867,False,5.0,
Small,5,1,5,7,225,SA,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.02900075912475586,False,5.0,
Small,5,1,5,7,225,TS,3.0,3.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.24102139472961426,False,5.0,
Small,5,1,5,7,225,QA_neal,3011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 3}",5.265325307846069,False,5.0,
Small,5,1,5,7,225,SBM,4011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 3}",0.019994258880615234,False,5.0,
Small,5,1,5,7,225,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,5,1234,225,Greedy,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,5,1234,225,GA,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.19397497177124023,False,5.0,
