solver,n_events_total,feas_rate,wall_median_s,wall_p95_s,wall_p99_s,wall_max_s,exceed_60s_total,rt_feasibility_rate,total_wall_per_day_mean_s
Greedy,45,1.0,0.0009999275207519531,0.0020064830780029295,0.002548666000366213,0.0029706954956054688,0,1.0,0.01796261469523112
GA,45,1.0,0.6860692501068115,0.9191328525543213,0.9351923656463623,0.9411108493804932,0,1.0,10.372623602549234
SA,45,1.0,0.0869760513305664,0.11940698623657225,0.1299700164794922,0.13306164741516113,0,1.0,1.3223071893056233
TS,45,1.0,1.0670900344848633,1.3595022201538085,1.4144734477996825,1.4167125225067139,0,1.0,15.898891766866049
